prediction;test_price
31.05;31.01
30.89;31.06
31.07;31.32
31.01;31.76
31.11;32.21
31.45;32.17
31.95;32.7
32.13;32.36
32.39;32.27
32.25;32.34
32.11;32.5
32.07;33.17
32.26;33.32
32.78;33.19
33.25;33.01
33.2;33.13
33.0;32.18
32.96;33.81
32.41;33.36
33.22;33.07
33.42;33.34
32.89;33.66
32.95;33.15
33.4;33.09
33.38;32.35
33.34;33.02
33.05;32.87
33.28;32.62
33.32;32.7
33.05;33.25
33.01;33.44
33.39;33.67
33.57;33.64
33.63;33.43
33.72;33.11
33.72;33.27
33.47;33.19
33.46;33.62
33.29;33.72
33.57;33.46
33.92;33.51
33.61;33.55
33.53;33.56
33.48;33.8
33.46;34.36
33.54;34.14
33.79;33.94
33.92;33.83
33.83;34.05
33.57;33.94
33.56;33.96
33.42;34.24
33.4;35.3
33.59;36.18
34.36;35.9
35.04;35.72
35.15;35.77
35.07;35.67
35.04;35.47
35.28;35.55
35.06;35.58
35.02;35.67
35.08;35.39
35.14;35.47
34.87;35.98
34.78;36.16
35.22;36.09
35.5;35.71
35.7;35.73
35.53;35.18
35.26;35.19
34.91;36.11
34.76;36.66
35.35;36.67
35.72;36.86
35.89;37.07
36.24;37.29
36.39;39.26
36.63;39.22
38.03;39.31
38.48;39.15
38.59;39.02
38.31;39.57
38.22;39.57
38.53;39.44
38.74;38.62
38.73;38.15
38.16;38.41
37.5;38.89
37.69;39.6
37.94;38.93
38.6;39.2
38.5;39.9
38.58;39.43
38.93;38.95
38.88;39.12
38.79;39.04
38.82;38.45
38.8;38.87
38.65;38.25
39.0;37.68
38.56;36.76
38.0;36.91
37.13;37.33
36.77;37.87
36.98;37.52
37.5;38.25
37.67;38.81
38.13;38.91
38.66;38.5
38.75;38.88
38.56;39.25
38.72;39.02
39.08;38.8
38.96;38.6
38.61;38.42
38.46;38.27
38.33;38.07
38.15;37.81
38.03;37.93
37.79;37.69
37.47;37.76
36.84;37.14
36.86;37.59
36.85;37.3
37.08;37.44
37.1;38.07
37.12;38.27
37.59;37.97
38.11;38.33
37.93;38.55
37.87;38.95
37.8;39.02
38.08;39.18
38.44;39.0
38.7;38.59
38.71;38.65
38.43;38.99
38.35;39.02
38.4;39.76
38.52;37.59
39.1;37.65
37.73;37.59
37.24;37.06
37.12;37.13
36.72;37.5
36.7;37.47
36.97;37.58
37.2;37.27
37.1;37.21
36.82;37.24
36.6;37.11
36.62;37.59
36.72;37.69
37.08;36.58
37.17;36.27
36.42;35.66
35.85;35.67
35.48;35.63
35.33;35.52
35.2;35.65
34.84;34.86
34.78;34.74
34.3;34.94
34.22;34.76
34.38;34.42
34.58;34.44
34.33;34.62
34.1;35.11
34.2;34.69
34.66;34.24
34.49;34.03
34.2;34.47
34.0;34.33
34.13;34.72
34.19;35.35
34.34;35.96
34.85;36.19
35.45;35.83
35.53;35.98
35.22;36.14
35.32;35.51
35.31;35.45
34.99;35.82
34.91;35.84
35.2;35.56
35.21;35.09
35.1;35.8
34.62;35.64
34.9;36.89
34.86;36.81
35.57;36.73
35.84;36.68
35.72;35.78
35.85;35.67
35.27;34.97
34.79;34.81
34.49;33.47
34.27;33.89
33.38;32.01
33.38;31.85
32.38;29.91
31.73;31.42
30.44;28.56
30.86;29.08
29.51;29.96
29.25;30.47
29.62;30.26
30.03;30.21
29.97;29.47
30.18;28.84
29.65;28.99
29.2;29.07
29.01;29.44
29.02;28.98
29.28;29.34
28.96;30.02
28.84;30.41
29.11;30.84
29.67;30.22
30.04;29.39
29.78;28.76
29.06;29.54
28.65;28.93
28.81;28.11
28.82;28.33
28.12;28.48
28.28;29.24
28.17;29.83
28.82;29.8
29.27;29.44
29.5;29.26
29.1;28.32
29.08;26.76
28.56;27.01
27.53;27.44
27.31;28.21
27.49;27.6
28.02;27.75
27.87;27.31
27.91;26.26
27.81;27.04
26.93;28.53
27.1;29.0
28.2;28.7
28.69;29.88
28.66;29.53
29.42;30.57
29.16;30.38
29.75;31.21
29.98;30.23
30.48;30.73
30.12;30.43
30.32;30.64
30.25;31.84
30.06;32.03
30.96;31.25
31.55;31.74
31.19;32.85
31.44;32.79
32.09;31.58
32.18;30.42
31.41;30.85
30.76;31.72
31.05;31.47
31.67;31.83
31.65;31.95
31.82;30.6
31.71;31.36
30.98;33.23
31.3;32.7
32.42;33.0
32.61;32.17
32.68;31.83
32.44;32.26
31.75;31.08
32.2;30.8
31.41;30.24
30.95;30.34
30.27;30.85
30.2;30.79
30.5;32.46
30.5;32.59
31.63;33.15
31.95;33.45
32.11;33.35
32.54;33.59
32.69;32.52
32.83;33.1
32.11;33.18
32.13;32.9
32.16;32.37
32.14;32.4
31.92;32.52
32.16;31.99
31.69;33.3
31.44;33.39
32.07;34.02
32.38;34.71
32.9;34.63
33.57;34.29
33.8;34.72
33.38;34.52
33.87;35.27
34.11;35.77
35.11;36.37
35.52;36.74
35.89;36.6
36.1;36.49
36.0;35.63
36.22;35.66
35.62;35.35
35.3;35.43
35.0;35.92
34.89;36.31
34.99;36.19
35.64;36.14
35.96;36.14
35.96;36.42
35.84;36.23
36.11;36.14
36.16;35.9
35.79;35.81
35.43;36.21
35.35;35.82
35.47;36.83
35.41;37.25
35.76;37.73
36.4;38.0
36.8;38.23
37.0;38.16
37.4;38.47
37.2;38.3
37.71;37.98
37.58;38.24
37.73;38.44
37.52;38.27
37.94;38.0
37.51;38.19
37.58;38.03
37.55;38.34
37.61;38.6
37.77;38.66
38.24;39.03
38.41;39.0
38.83;39.31
38.95;38.67
38.99;38.44
38.45;38.69
38.05;38.89
38.4;38.98
38.41;40.52
38.49;40.03
39.41;40.02
39.43;39.76
39.34;39.99
39.07;39.81
39.15;39.84
39.13;39.86
39.04;40.19
39.1;40.86
38.91;40.65
39.6;40.06
39.69;39.6
39.29;40.31
38.93;40.36
39.35;39.86
39.26;39.52
38.88;39.66
38.49;38.77
38.43;37.74
37.84;38.09
37.26;38.81
37.3;38.53
37.95;38.35
38.1;39.29
38.12;39.12
38.76;38.74
38.82;38.99
38.77;38.68
38.74;38.83
38.25;39.31
38.39;39.92
38.57;39.91
39.09;39.69
39.14;40.32
39.37;40.09
40.09;40.33
39.9;39.52
39.97;40.34
39.33;40.79
39.28;41.45
39.58;41.69
40.14;41.95
40.37;41.59
40.77;41.44
41.06;41.5
40.95;40.81
40.72;40.33
40.32;40.87
39.98;40.87
39.79;40.7
40.04;40.91
40.03;40.97
39.98;41.87
40.02;41.61
40.71;42.08
40.89;40.88
40.84;40.89
40.17;41.28
40.25;41.92
40.59;42.01
41.26;42.57
41.42;42.17
41.81;42.7
42.0;42.56
42.63;43.44
42.83;43.35
43.25;43.36
43.28;43.74
43.03;43.94
43.09;43.64
43.26;43.7
43.36;42.99
43.29;43.55
42.86;44.07
43.16;44.03
43.83;44.65
43.81;44.85
44.2;44.73
44.39;44.29
44.22;44.23
43.9;44.19
43.78;43.6
43.83;43.52
43.34;43.65
43.0;44.37
42.99;44.06
43.3;45.43
43.5;45.43
44.42;45.1
44.62;44.73
44.24;44.17
43.83;44.34
43.36;44.47
43.25;45.77
43.33;45.98
44.2;45.85
44.51;45.24
44.51;44.95
43.97;45.09
43.95;45.82
43.97;45.71
44.39;45.86
44.31;46.48
44.45;46.0
44.97;45.71
44.74;45.9
44.35;45.75
44.13;45.93
43.79;46.26
43.84;46.46
44.09;46.45
44.8;45.7
45.03;45.72
44.46;45.27
44.31;45.63
43.95;45.69
44.27;45.69
43.99;46.07
43.74;45.5
43.97;45.54
43.65;45.72
43.68;46.76
44.08;47.75
44.83;47.63
45.75;47.43
45.57;47.47
45.38;47.6
45.36;48.43
45.59;48.2
46.03;48.01
45.91;47.78
45.76;48.52
45.56;48.48
46.03;48.56
46.44;48.72
46.43;48.37
46.53;47.82
46.21;48.41
45.74;48.13
45.89;47.94
46.16;47.54
46.18;48.31
45.61;48.45
45.98;48.77
46.42;48.18
46.67;47.42
46.47;47.15
45.56;46.35
45.06;46.58
44.44;46.76
44.51;47.17
44.67;48.14
44.71;48.26
45.3;47.78
45.49;47.68
45.2;46.73
45.31;46.63
44.89;46.27
44.36;46.11
43.96;45.22
43.89;45.83
43.49;45.9
43.59;46.33
43.45;46.47
43.7;46.11
43.77;46.07
43.65;43.33
43.54;43.69
42.05;44.15
41.62;43.43
41.88;43.7
41.7;43.66
41.83;44.11
41.88;44.6
42.14;44.82
42.32;45.35
42.51;45.14
42.51;44.74
42.48;45.3
42.27;45.78
42.58;45.72
43.07;45.38
43.4;45.39
43.3;45.66
42.91;45.86
43.07;46.03
43.14;46.09
43.13;46.25
43.18;46.4
43.68;45.91
43.97;45.5
43.68;46.07
43.17;46.95
43.6;46.68
43.8;47.61
43.76;46.74
44.65;46.63
44.4;46.6
44.22;46.3
44.35;45.95
43.83;46.54
43.8;47.77
43.96;47.87
44.83;48.79
45.0;47.65
45.42;47.45
44.95;47.47
44.51;47.48
44.57;47.28
44.74;47.29
44.91;47.76
44.76;48.17
44.98;48.99
45.43;48.93
46.03;49.29
46.08;50.43
46.15;50.43
46.98;50.83
46.99;50.82
47.48;50.47
47.95;50.28
47.68;50.37
47.49;51.03
47.54;50.39
47.83;50.75
47.61;50.97
47.79;50.82
47.8;51.1
47.56;51.18
47.66;51.37
47.97;51.38
48.17;51.3
48.36;51.98
48.29;52.1
48.91;51.04
48.86;50.64
48.32;50.71
48.03;50.1
47.96;50.39
47.92;50.93
47.91;51.03
48.22;51.72
48.12;52.16
48.43;52.8
48.71;52.69
49.02;52.65
49.17;53.65
49.29;53.9
49.63;53.39
50.0;53.6
50.06;53.98
50.1;53.83
50.25;53.12
50.02;52.64
49.74;53.23
49.15;52.64
49.14;53.08
48.86;52.54
48.94;52.94
48.77;52.79
48.99;53.1
49.3;52.99
49.49;53.71
49.52;53.52
50.11;53.83
50.01;53.94
50.37;54.98
50.57;55.28
51.59;56.19
51.93;56.6
52.46;56.6
52.62;55.04
52.59;56.79
51.55;56.72
52.36;56.08
52.63;57.55
52.09;57.97
52.71;58.51
53.21;57.9
53.69;57.96
53.65;57.84
53.42;58.89
53.24;58.74
53.97;59.09
54.03;59.71
54.14;60.57
54.27;60.82
55.08;61.76
55.36;61.69
56.22;62.32
56.45;62.82
57.18;62.93
57.52;63.07
57.51;63.26
57.38;62.14
57.39;62.24
56.7;61.81
56.68;61.54
56.17;61.29
55.76;60.98
55.33;61.22
55.37;62.34
55.6;61.94
56.26;60.43
56.58;58.97
55.56;59.64
54.51;60.15
54.35;59.0
54.82;59.02
54.41;60.62
54.15;59.67
54.91;59.64
55.1;58.88
54.69;60.11
54.41;59.64
54.99;60.28
54.59;61.03
54.44;60.14
54.79;57.94
54.38;58.64
53.43;58.37
53.6;58.49
53.49;59.09
53.48;59.57
53.96;59.03
54.07;59.76
53.57;59.14
53.74;59.46
53.37;59.66
53.36;60.49
53.78;60.71
55.01;60.68
55.18;62.24
55.35;62.61
56.36;61.63
56.64;60.79
56.07;61.1
55.54;61.53
55.54;60.91
55.48;60.2
55.34;60.25
54.62;60.43
54.52;60.34
54.56;60.74
54.73;60.4
54.82;60.0
54.57;60.43
54.31;61.1
54.74;62.17
55.19;61.72
56.05;62.68
55.97;61.61
56.44;61.46
55.96;60.51
55.95;59.76
55.26;59.81
54.46;59.79
54.22;58.31
54.17;58.12
53.41;57.8
53.18;57.85
53.6;57.15
53.69;57.62
52.95;57.7
53.04;57.35
53.02;56.73
52.34;56.84
52.31;57.1
52.28;56.86
52.53;56.96
52.51;57.13
52.79;57.3
52.97;57.39
53.14;57.57
